base_score,[481.89942275]
age,Score
"(-inf, 32.0]",-10.285982010200925
"(32.0, 53.0]",-5.226075441085916
"(53.0, 57.0]",3.792534235055149
"(57.0, 61.0]",9.431427383260123
"(61.0, 65.0]",22.14092492943102
"(65.0, inf]",42.35920440744748
DebtRatio,Score
"(-inf, 0.0573]",24.884915752374074
"(0.0573, 0.469]",1.0988356494513518
"(0.469, 0.635]",-11.40362721402664
"(0.635, 1.729]",-17.63620875593596
"(1.729, 1357.5]",-0.6388520173727569
"(1357.5, inf]",13.208783135585461
MonthlyIncome,Score
"(-inf, 2375.0]",-1.9386883055363322
"(2375.0, 6600.0]",-1.575978287343352
"(6600.0, 6800.817]",1.0825770625634998
"(6800.817, 6833.0]",0.08352307979141772
"(6833.0, 8450.0]",2.0408620567510463
"(8450.0, 11000.0]",2.7834361932832374
"(11000.0, inf]",3.6168310570307045
NumberOfOpenCreditLinesAndLoans,Score
"(-inf, 3.0]",-15.264529421217157
"(3.0, 7.0]",0.4520852185274213
"(7.0, 8.0]",5.197132990509985
"(8.0, 9.0]",3.7562178725976394
"(9.0, 10.0]",3.494480148914958
"(10.0, 12.0]",4.984820511095974
"(12.0, 15.0]",4.238303795382764
"(15.0, inf]",11.001535823159555
NumberOfTime30-59DaysPastDueNotWorse,Score
"(-inf, 1.0]",3.6054539851191643
"(1.0, 2.0]",-36.13907071343963
"(2.0, 3.0]",-41.087970353929286
"(3.0, inf]",-38.68718278700856
NumberOfTimes90DaysLate,Score
"(-inf, 1.0]",2.0234324472654115
"(1.0, 2.0]",-48.47210852931064
"(2.0, 3.0]",-54.09827677696618
"(3.0, inf]",-53.98516129536824
NumberRealEstateLoansOrLines,Score
"(-inf, 1.0]",-4.511630393567276
"(1.0, 2.0]",17.779998016445475
"(2.0, 3.0]",13.200471010379923
"(3.0, 4.0]",8.911228231346922
"(4.0, inf]",-6.436764764646121
NumberOfTime60-89DaysPastDueNotWorse,Score
"(-inf, 1.0]",0.4845634396251381
"(1.0, 2.0]",-29.633002861024963
"(2.0, inf]",-30.03199120820977
NumberOfDependents,Score
"(-inf, 1.0]",3.8961945264536575
"(1.0, 2.0]",-9.207165283383398
"(2.0, 3.0]",-9.115205632257853
"(3.0, inf]",-6.331572577786063
